"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"AOL",2004,9.2e+07,"web","inside job","Email/Online info","[14M - 2200M]"
"Cardsystems Solutions Inc. ",2005,4e+07,"financial","hacked","Credit Card info","[14M - 2200M]"
"Ameritrade Inc.",2005,2e+05,"financial","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Citigroup",2005,3900000,"financial","lost / stolen device or media","Credit Card info","[2,5M - 14M)"
"Automatic Data Processing",2005,125000,"financial","poor security","SSN/Personal Details","[1025 - 400K)"
"AOL",2006,2e+07,"web","accidentally published","Email/Online info","[14M - 2200M]"
"KDDI",2006,4e+06,"telecoms","hacked","Email/Online info","[2,5M - 14M)"
"Countrywide Financial Corp",2006,2600000,"financial","inside job","Credit Card info","[2,5M - 14M)"
"Hewlett Packard",2006,2e+05,"tech","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Hewlett Packard",2006,2e+05,"retail","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"T-Mobile, Deutsche Telecom",2006,1.7e+07,"telecoms","lost / stolen device or media","Email/Online info","[14M - 2200M]"
"US Dept of Vet Affairs",2006,26500000,"government","lost / stolen device or media","SSN/Personal Details","[14M - 2200M]"
"US Dept of Vet Affairs",2006,26500000,"military","lost / stolen device or media","SSN/Personal Details","[14M - 2200M]"
"Monster.com",2007,1600000,"web","hacked","SSN/Personal Details","[400K - 2,5M)"
"Hannaford Brothers Supermarket Chain",2007,4200000,"retail","hacked","Credit Card info","[2,5M - 14M)"
"TD Ameritrade",2007,6300000,"financial","hacked","Email/Online info","[2,5M - 14M)"
"TK / TJ Maxx",2007,9.4e+07,"retail","hacked","Credit Card info","[14M - 2200M]"
"Texas Lottery",2007,89000,"government","inside job","SSN/Personal Details","[1025 - 400K)"
"Compass Bank",2007,1e+06,"financial","inside job","Credit Card info","[400K - 2,5M)"
"Fidelity National Information Services",2007,8500000,"financial","inside job","Credit Card info","[2,5M - 14M)"
"Dai Nippon Printing",2007,8637405,"retail","inside job","Email/Online info","[2,5M - 14M)"
"City and Hackney Teaching Primary Care Trust",2007,160000,"government","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
